generation,baseNumberPoints,numberValueCoefficient,mostHeldColorPoints,colorRatioCoefficient,significantLeadRatio,playColorDislikedByHighestPlayerPoints,reversePoints,skipPoints,drawTwoPoints,wildDrawFourPoints,heldColorCoefficient,calledColorPoints,fitness,points,rate
13,10.618531397970118,1.4320542216765257,7.266397780058603,10.132829047759044,4.0616865870015655,5.652882834024658,10.512184310746745,5.7923316133582246,15.237202823311438,8.136905036475737,10.730831697116406,2.1950244274525903,111674.37560000001,344249,0.3244
14,10.410046002261272,-0.6158588785522283,14.293119373268333,12.849696871114547,5.740210644479344,6.725532782803111,12.37053937407245,5.558724838714285,14.928509577511797,4.941677432186965,11.446214502323745,3.1435567024306126,113150.8254,342259,0.3306
15,13.589106269232834,-0.6168485682229663,15.080619313448427,12.848343719490675,3.5100488285211635,6.672664905282496,9.182060892206426,5.405590181947213,15.696558322062739,8.371394102309868,11.447398165349984,3.155462376970167,114158.4363,342099,0.3337
16,13.633592407030042,1.0151237550273235,15.288543671453823,12.07609677199745,5.765076732135127,6.439401740006209,9.186636911030373,5.276501185855419,14.918409181641252,7.245932307882511,11.438470624288055,2.804734668842713,120338.2472,353624,0.3403
17,10.439114844413844,-0.6556283498132163,15.053088831292381,15.076692898064573,5.4952807209115395,6.235739905348649,8.935751569309181,5.571936214558043,15.695287591888773,8.442276552479022,11.546353244088861,2.96344657917273,116345.71979999999,345342,0.3369
18,10.697320859516877,-0.6552202524443331,14.922379279107377,14.063717138764673,6.222957488848485,4.059638982578148,8.032013189223093,5.850964510981691,15.629080878875023,8.442662577367619,13.95945091563673,2.9078703757993924,113107.57620000001,341818,0.3309
19,10.414562477537697,-0.7834712140608693,14.6283236212888,12.166699814913542,6.199567966002022,7.669163197057078,12.054594845102468,5.8541077962716725,14.670601414160227,7.047465336150654,13.959032649511546,2.8842447461621057,112010.6871,337077,0.3323
20,14.462227151324814,1.2515617899015095,15.398165352225456,14.646825408015708,8.269041900737898,8.547398476020728,7.069626910428054,4.752199803992409,16.37778588565568,4.513713002288717,11.361590126151896,-1.9048960022801016,113463.82100000001,342791,0.331
21,12.15358756265666,-1.3297927860215197,15.377855422950107,14.649537361496252,6.478946964714517,4.79342523813433,7.078138679663367,7.037586067675385,14.70274128241826,4.51541195872766,12.606059660400353,-1.7205210635353365,112818.2418,341253,0.3306
22,13.87957500355647,-0.8713523838431452,13.648109140572707,13.890126336868777,6.998922013386796,7.86700768039821,8.275955663160975,4.89608809914361,14.655540452300347,4.514528893000221,12.896455630248795,-3.326061432657891,118874.756,350870,0.3388
23,9.005933812157242,-0.7910387093632061,14.627160149055786,14.06606850111253,6.15767404089944,10.11766774615042,6.372504054378291,6.268261423659968,14.66003418033374,4.001760580726686,13.520665861792322,-2.1964372919125914,115040.6616,346926,0.3316
24,9.708358112971572,-0.9043339772069132,16.400454850226776,13.299372720982275,6.813251289755072,10.115168299972431,6.562725140425157,4.8995304363365,16.384158889742658,8.349953103369606,14.172582748891598,-1.652817038603788,116277.8018,346271,0.3358
25,7.342579486839355,-2.0003071717483474,16.985186642259276,13.889986164957273,6.194447892465655,9.68465742055817,8.150497655583147,7.018251219268316,14.392027913422913,4.001143284262321,12.87742173172504,-1.9720985600737253,117015.66560000001,348676,0.3356
26,6.056073779468742,-2.003497450236948,14.740013966352956,13.044044317902122,6.188728336644235,8.929469262332432,11.834734818945401,7.138569441964781,14.362639044080025,4.691113555245703,12.879220676224616,-2.0392729195969,117343.93740000001,349134,0.3361
27,6.053921800573407,-0.05189261011029893,14.716056226681502,14.610636500358444,6.830390340314576,9.612684899010834,11.839659669530151,7.159703970797247,16.37925567511362,4.690551962988553,12.880139331274385,-2.1887540525254425,116068.15500000001,346990,0.3345
28,8.357125681732171,-0.05229663047070441,16.363053582756642,14.457485473315385,6.125847618415724,11.316979864445074,6.708013366934453,7.259308162595745,16.366347287352863,2.176104646631783,12.87819627310625,-2.87753029109247,115942.49100000001,344043,0.337
29,6.4359461161122,-0.8170905527470247,14.913060614846266,14.718263029676775,7.920356508078125,8.953876785870873,11.863508283010027,6.448888102398736,15.045049204611212,2.2167334827156946,13.69804054199234,-2.07569362211236,118171.74600000001,350658,0.337
30,6.995700088892239,-1.517246403561741,16.52399680990057,13.068248280676306,9.143000626679276,7.525814569766369,7.192129904789426,6.104650838013346,16.03225740604868,1.81643287319484,11.294144463291456,-2.8861779622180834,118256.0008,350492,0.3374
31,6.640078619525742,-1.5514100306014706,16.57487706225923,12.961199591069496,6.2581537029149805,7.182484623285749,7.559942074937993,5.682221370746513,15.043958868989092,2.2727498726014117,13.577301401051866,-3.1695392351552893,118713.686,352580,0.3367
32,6.091363555459416,-1.5563816398310752,16.819350549903085,13.19240879236966,6.218215805774028,7.1976626865597595,7.216078789518063,6.082636280221035,15.052454288337444,2.2784617830698335,11.275114262177523,-3.168928594189175,119374.104,352136,0.339
33,6.132491125862776,-2.063068534133823,17.042952098861353,14.602748896959602,9.206679342020776,8.637261474766646,7.487384355589373,6.201671456049704,14.003678071657697,0.430075148729501,16.41000130180491,-2.877025106291713,119127.0375,352969,0.3375
34,6.130052557030345,-2.0622164208000857,17.019134672493102,12.947914584219882,5.399253039518771,7.212185090811199,7.980933524780104,6.093899126303727,13.51940392803535,1.144397207324191,16.407102372466873,-2.9110125763518897,118041.5808,350064,0.3372
35,6.7924300261886446,-0.9004811063072903,18.219432225145628,13.340196442641245,6.292282660993056,8.639579741635494,7.446682511524194,6.207628177428833,16.023627143456725,3.3512463074822856,18.555145120773197,-4.937523273709051,117753.6249,349521,0.3369
36,6.925760407264385,-0.9040415558526269,15.79260680274376,12.71510160512951,5.299884747394321,8.312249518866015,7.448596763051594,7.19560982245422,16.02444475575349,2.324671860641075,16.57140032419,-5.462137843293778,118085.8794,351237,0.3362
37,4.931808665730193,-3.692525174431486,16.89746237451633,15.456570739698755,5.297977103973263,8.313325353220048,5.367423163128825,7.194510105579907,15.974953322811304,2.229681176251824,15.258427979257975,-3.1444386820287247,117878.9435,348445,0.3383
38,3.540941187046593,-3.693218864044982,16.89694773321259,15.504913408549282,4.0519792468970826,9.582898116062399,8.19906087144597,7.357634435016042,15.974475100209073,2.179547988313631,16.44755406755553,-6.393520399531733,120117.35840000001,352664,0.3406
39,6.429637156076675,-2.356990250691154,16.083176495345285,11.98027404378985,7.597799489523469,7.828290731632358,5.827622681330914,6.472491090436647,16.410990133413144,2.7104882043613028,16.95947626425334,-3.161595576983552,119539.20000000001,352000,0.3396
40,6.124963222446581,-3.001113775832971,17.555414696332655,16.054456216456398,5.28800424735218,7.883321169324085,6.681939878164931,6.864943298163162,15.490955911695645,2.4476658496885135,12.705050498095707,-3.2694317332959386,119500.4307,353447,0.3381
41,6.131497574050982,-2.124573861367406,17.55466539297522,16.053361005975702,7.6500714106965635,7.745106800902472,5.821189672043024,6.865502761501714,16.40304202296942,2.4548650433837715,11.447371184546906,-3.159937391422994,118498.02799999999,351835,0.3368
42,6.16100198913038,-3.557255773026271,17.634262165247183,13.391202964984037,7.455785685156436,8.592394218312473,6.055315787830404,7.5031777278195175,14.887944587555792,-0.011894254622005107,16.902095291454852,-3.675768207185105,116675.6822,347974,0.3353
43,4.075101693278021,-2.5802344731724185,17.705296782975893,16.718487823340165,4.407535294959865,9.848505597259333,6.5887141063153605,7.7960937796354735,15.807865382847682,3.8570882185722235,16.23830322481074,-2.290593273047647,119567.8314,354906,0.3369
44,3.025553518946473,-2.5798593733659922,17.710449051515937,16.573286998925415,4.4051051869817455,9.694049219306082,6.5952854945074995,7.798910513465752,15.808734490231098,2.074150979260853,17.604758380949438,-2.5891794600032445,118962.8538,352587,0.3374
